TF_name	part_tested	class	note
TFAP2A	FL	MethylMinus	NA
TFAP2B	DBD	MethylMinus	NA
TFAP2C	DBD	MethylMinus	NA
TFAP2E	FL	MethylMinus	NA
GRHL1	DBD	MethylPlus	C
TFCP2	DBD	MethylPlus	C
TFCP2	FL	MethylPlus	W
TFCP2L1	DBD	MethylPlus	C
UBP1	DBD	MethylPlus	C
YBX1	DBD	No CpG	NA
CUX1	DBD	MethylMinus	NA
CUX2	DBD	Inconclusive	NA
ONECUT1	DBD	MethylMinus	NA
ONECUT1	FL	MethylMinus	NA
ONECUT2	DBD	MethylMinus	NA
ONECUT2	FL	MethylMinus	NA
ONECUT3	DBD	MethylMinus	NA
ARNT2	DBD	MethylMinus	NA
ARNTL	DBD	MethylMinus	NA
ASCL1	DBD	No CpG	NA
ASCL2	DBD	No CpG	NA
ASCL2	FL	MethylMinus	S
ATOH1	DBD	No CpG	NA
ATOH7	DBD	No CpG	N
BHLHA15	DBD	No CpG	NA
BHLHE22	DBD	No CpG	NA
BHLHE23	DBD	No CpG	NA
BHLHE23	FL	No CpG	W
BHLHE40	DBD	MethylMinus	NA
BHLHE41	DBD	MethylMinus	C
CLOCK	DBD	Multiple effects	NA
FERD3L	FL	No CpG	NA
FIGLA	DBD	No CpG	NA
HAND2	DBD	No CpG	A
HES1	DBD	MethylMinus	NA
HES2	DBD	MethylMinus	NA
HES5	DBD	MethylMinus	C
HES6	FL	MethylMinus	NA
HES7	DBD	MethylMinus	C
HEY1	DBD	MethylMinus	NA
HEY1	FL	MethylMinus	NA
HEY2	DBD	MethylMinus	NA
HEY2	FL	MethylMinus	NA
MAX	DBD	MethylMinus	NA
MAX	FL	MethylMinus	NA
MESP2	DBD	No CpG	W
MLX	DBD	MethylMinus	NA
MLX	FL	MethylMinus	NA
MSC	DBD	No CpG	NA
MSC	FL	No CpG	NA
MSGN1	DBD	No CpG	NA
MYCN	DBD	MethylMinus	NA
MYF6	DBD	MethylPlus	S
MYOD1	DBD	Little effect	S
MYOD1	FL	Little effect	S
MYOG	DBD	Little effect	S
MYOG	FL	Little effect	S
NEUROD1	FL	No CpG	NA
NEUROD2	FL	No CpG	NA
NEUROG1	DBD	No CpG	NA
NEUROG1	FL	No CpG	NA
NEUROG2	DBD	No CpG	NA
NEUROG2	FL	No CpG	W
NHLH1	DBD	Little effect	W
NHLH1	FL	Little effect	W
NHLH2	FL	Little effect	C
NPAS2	DBD	Multiple effects	NA
OLIG2	DBD	No CpG	NA
OLIG3	DBD	No CpG	NA
OLIG3	FL	No CpG	NA
PTF1A	DBD	Little effect	SA
SOHLH2	DBD	MethylMinus	C
SREBF1	DBD	MethylMinus	NA
SREBF2	DBD	MethylMinus	NA
TCF12	DBD	MethylMinus	NA
TCF21	DBD	No CpG	NA
TCF4	DBD	MethylMinus	C
TCFL5	DBD	MethylMinus	C
TFAP4	DBD	No CpG	NA
TFAP4	FL	No CpG	NA
TFE3	DBD	MethylMinus	NA
TFEB	DBD	MethylMinus	NA
TFEC	DBD	MethylMinus	NA
USF1	FL	MethylMinus	NA
USF2	DBD	MethylMinus	NA
ATF2	DBD	MethylMinus	NA
ATF2	FL	MethylMinus	NA
ATF3	DBD	MethylMinus	NA
ATF3	FL	MethylMinus	NA
ATF4	DBD	MethylMinus	NA
ATF4	FL	MethylMinus	NA
ATF6	DBD	MethylMinus	NA
ATF6B	DBD	MethylMinus	NA
ATF7	DBD	MethylMinus	NA
BACH2	DBD	MethylMinus	NA
BATF	FL	No CpG	W
BATF3	DBD	Inconclusive	NA
BATF3	FL	Inconclusive	NA
CEBPB	DBD	MethylPlus	C
CEBPD	DBD	Little effect	NA
CEBPE	DBD	MethylPlus	C
CEBPG	DBD	MethylPlus	C
CEBPG	FL	MethylPlus	C
CREB1	DBD	MethylMinus	NA
CREB1	FL	MethylMinus	NA
CREB3	FL	MethylMinus	NA
CREB3L1	DBD	Motif dependent	M
CREB3L1	FL	Motif dependent	M
CREB3L4	DBD	MethylMinus	NA
CREB5	DBD	MethylMinus	NA
CREB5	FL	MethylMinus	NA
CREM	DBD	MethylMinus	NA
DBP	DBD	Inconclusive	NA
DBP	FL	Inconclusive	NA
FOS	DBD	MethylMinus	NA
FOSB	DBD	Inconclusive	NA
FOSL1	FL	Motif dependent	M
HLF	FL	MethylPlus	C
JDP2	DBD	Inconclusive	NA
JDP2	FL	Inconclusive	NA
JUN	FL	MethylMinus	NA
JUNB	DBD	MethylMinus	NA
JUND	DBD	MethylMinus	NA
MAF	DBD	No CpG	WB
MAF	FL	MethylMinus	NA
MAFA	DBD	MethylMinus	NA
MAFF	DBD	MethylMinus	NA
MAFF	FL	MethylMinus	NA
MAFG	DBD	MethylMinus	S
MAFG	FL	MethylMinus	N
NFE2	DBD	No CpG	NA
NRL	DBD	No CpG	S
NRL	FL	No CpG	S
TEF	DBD	MethylMinus	NA
XBP1	FL	MethylMinus	NA
DMRT1	FL	No CpG	B
DMRT3	DBD	No CpG	NA
DMRTA1	FL	No CpG	NA
DMRTA2	DBD	No CpG	NA
DMRTC2	DBD	MethylMinus	NA
DMRTC2	FL	MethylMinus	NA
E2F1	FL	MethylMinus	NA
E2F2	DBD	Motif dependent	M
E2F3	DBD	Little effect	NA
E2F4	DBD	MethylMinus	NA
E2F7	DBD	MethylMinus	NA
E2F8	DBD	Little effect	NA
ELF1	DBD	MethylMinus	NA
ELF1	FL	MethylMinus	C
ELF2	DBD	MethylMinus	NA
ELF2	FL	MethylMinus	NA
ELF3	DBD	MethylMinus	NA
ELF3	FL	MethylMinus	NA
ELF4	DBD	MethylMinus	NA
ELF5	DBD	MethylMinus	NA
ELF5	FL	MethylMinus	NA
ELK1	DBD	MethylMinus	NA
ELK1	FL	MethylMinus	C
ELK3	DBD	MethylMinus	C
ELK3	FL	MethylMinus	C
ELK4	FL	MethylMinus	NA
ERG	DBD	MethylMinus	NA
