"","logFC","t","P.Value","adj.P.Val","B","Male_ART_mean","Female_ART_mean","Male_nonART_mean","Female_nonART_mean","bacon_pvalue"
"cg00004031",-0.0699231364165741,-0.519681893335439,0.604757186148952,0.854233126487621,-5.31604234612916,0.642163435867218,0.657137489844455,0.649560887299543,0.672425866605941,0.659984973076785
"cg00005617",-0.247827545720739,-1.10569333960681,0.272258462375064,0.662381775395416,-4.92952468025353,0.884510073667263,0.702342964637835,0.873692995656285,0.708735859600763,0.360805675475853
"cg00006815",0.307291766829379,1.68808114711545,0.0953909159892285,0.512801289542752,-4.28191721396988,0.0739284523543163,0.290002745421161,0.0911554775705862,0.287371932131132,0.17848162219698
"cg00006848",-0.177258563087538,-1.32297397909821,0.189709923462979,0.596131390939463,-4.71776079162492,0.716043083512094,0.640002990803972,0.699722260985671,0.649871592117835,0.275914964426596
"cg00008932",-0.0144321405087209,-0.0831675541650938,0.933931406191622,0.981645783180152,-5.42381721416394,0.834274424546634,0.690270354710219,0.842379663113279,0.703014470783565,0.930725150007662
"cg00008945",0.283398517543246,1.29403018066168,0.199473899373027,0.603940346440727,-4.74805434142884,0.126161685386921,0.478031591820569,0.135204514525461,0.502957864171098,0.304522738217994
"cg00011200",0.437161190797747,0.950045129033474,0.34502416249653,0.716888984195527,-5.0587482767088,0.0706267783254415,0.601320481969314,0.113951849552189,0.622975985246884,0.454093373648261
"cg00011891",0.94530327220241,2.85372784323898,0.00553143143986664,0.42311053642837,-2.27808701893312,0.0755306323200277,0.551191843303347,0.104049702980625,0.563421208908231,0.0221327101086349
"cg00012395",0.0394062318855702,0.193638605560153,0.846962307885601,0.950719429046079,-5.41127126671045,0.90809187768109,0.893798001685575,0.900781968116598,0.899127180459731,0.891097425395873
"cg00012680",0.0430165254044088,0.236258046001007,0.813851819236953,0.939730072351451,-5.40375695636606,0.328024500796291,0.491171523947647,0.333547699894444,0.490084340166536,0.863923966414819
"cg00014152",-0.0597893154655662,-0.363506356733512,0.717210158882273,0.902072347548108,-5.37247910848393,0.942075281981365,0.948267043889049,0.937104242256031,0.951088155333658,0.753796351719751
"cg00016522",0.709737997189839,2.52013277099874,0.0137735016543944,0.434969743003972,-2.93965992933825,0.0749575781527928,0.53496152650149,0.149450432348681,0.546475576208502,0.0435589638698302
"cg00016934",0.0469923888401976,0.265719289224029,0.791156561850826,0.931493416219273,-5.39769318383232,0.328542943634159,0.314618334467152,0.322139151368041,0.304091112125032,0.845231624967642
"cg00017004",0.0241786593067731,0.110506616488946,0.912291481456597,0.97361518292579,-5.42164442159246,0.895310112159682,0.819820979640113,0.881097412746351,0.832914895423223,0.944441721353386
"cg00017099",0.0657680634402731,0.317858852311535,0.751441519459094,0.914808504058035,-5.38522151707436,0.854704264207444,0.822201320360386,0.862304575894362,0.82191731955782,0.812369442026234
"cg00017110",0.226006044974048,1.19060227661488,0.23742104102445,0.635224564261672,-4.85108652176918,0.892745683379376,0.820582248550838,0.901063457666731,0.82559180206513,0.345608011154213
"cg00018204",-0.0351954279265615,-0.161035731011013,0.872481675039157,0.958975687976077,-5.41601479960755,0.743183720374183,0.759795847612688,0.726877114589824,0.759978770940139,0.880841040941161
"cg00018261",0.419931198526404,1.15427269619741,0.251913139441719,0.644544282078297,-4.88532920611167,0.0789484514225172,0.658870612015403,0.119326914954754,0.672830605996305,0.36084116606156
"cg00019168",0.242712883843199,1.36361762254525,0.176611093272308,0.584948461647192,-4.67415102119505,0.627386365995147,0.670264744036372,0.648469441066683,0.650994918485173,0.278783144088368
"cg00021786",-0.0263488209741265,-0.155420574306774,0.876891323049216,0.961118333472216,-5.41674381393222,0.943885311672298,0.887408980649727,0.937439750383981,0.881838540038832,0.884424864893549
"cg00022064",0.123812497790501,0.870344775181268,0.386783024981257,0.740286973248111,-5.11754838555284,0.344183064672918,0.360374242033519,0.335750466241094,0.370780826608018,0.493876686011945
"cg00023415",-0.0493988532920288,-0.285294630151542,0.776174718589482,0.92523420599792,-5.39327142566775,0.906512780994785,0.895031123594554,0.904321718547134,0.888991405997069,0.802286461061731
"cg00025987",0.12709481160016,0.662154332997819,0.509824235944848,0.807679481499872,-5.24730818407043,0.349792941316911,0.455481782822521,0.374495063706396,0.462170458667593,0.605996860812761
"cg00027076",-0.412409807553108,-2.61463648176187,0.0107175894838543,0.428448188709726,-2.7589236881125,0.770088784367364,0.757439133147963,0.744587109754742,0.760913194114767,0.0328357026643191
"cg00027454",-0.187456402109077,-1.44047782950785,0.153734837243389,0.565575368646163,-4.58828313948544,0.563570269471213,0.587414818178982,0.525196504655093,0.590936957931487,0.236189391020338
"cg00029931",0.461389613785742,1.57309005767541,0.119746235691327,0.533543556847599,-4.42978969320459,0.0959588000646211,0.51326920894709,0.118544717165601,0.543809364946735,0.210404628893336
"cg00030125",0.0857748156926442,0.477918013035893,0.634045405775255,0.869727289391451,-5.33307706107699,0.890249888242801,0.81818125423602,0.892666125584053,0.826451129738676,0.713762678665984
"cg00031235",-0.331022033560514,-1.80224157080178,0.0753711144169762,0.495249033365247,-4.12569313921072,0.892819057869295,0.780277969555707,0.886573413409475,0.760692198447348,0.139644239171919
"cg00032666",0.0705442491328848,0.593677778229847,0.55444565317105,0.828982202856133,-5.28239032538012,0.707916652066531,0.678062878092544,0.702461401604725,0.679551337074768,0.645214582515391
"cg00033732",0.164636116550157,1.1415861097167,0.257119112304624,0.64781473905043,-4.89704712972892,0.128510069473408,0.14967265126691,0.132303631031557,0.145956402830142,0.366258459319224
"cg00034639",-0.0581832268082497,-0.459275627437888,0.64731382483162,0.874556386244899,-5.34022373200762,0.69994129883372,0.673412679373884,0.702069998314363,0.701300998571217,0.69573482283862
"cg00034731",-0.268859518019235,-1.68597061799342,0.0957984393084342,0.513389508926467,-4.28471754560963,0.729127411715539,0.69838260881205,0.707818384092215,0.702132347643836,0.166636999254852
"cg00035864",-0.38644925812989,-1.97480433942561,0.0518295641830579,0.461395224341905,-3.87211428967115,0.181547825494676,0.45630695463214,0.170948111856201,0.474083599650035,0.105950485794142
"cg00036045",0.403517327939357,1.67052336536582,0.0988245848691053,0.516133615547081,-4.30511579340752,0.425798421214983,0.382242668077052,0.410667369654142,0.372650865653243,0.18310802194934
"cg00037117",0.0484845697993005,0.293478321502567,0.769936107658822,0.922222384048559,-5.39132996237845,0.71414395592253,0.777237731299328,0.68865455445092,0.787155656792092,0.827698466022991
"cg00039328",0.114697979685184,0.621049019376783,0.53637829471592,0.820451734008676,-5.26882095730538,0.786079446855644,0.72963147105359,0.783071453719389,0.718015587874359,0.629411798305251
"cg00040455",0.215549677182439,0.701034508389006,0.485367913203135,0.795184977665938,-5.22570893512676,0.103242318631344,0.394945723173591,0.135960016890649,0.411249690417497,0.58421539860006
"cg00040923",-0.0809510917426274,-0.489889360357853,0.625587430895895,0.864498118144552,-5.32833890976831,0.664115287873668,0.630873348471742,0.653366887838947,0.625853988614707,0.677526193651043
