"","logFC","t","P.Value","adj.P.Val","B","Male_ART_mean","Female_ART_mean","Male_nonART_mean","Female_nonART_mean","bacon_pvalue"
"cg00004031",0.115289922331158,1.20362329274434,0.231080299745105,0.737105971574384,-5.24270662369193,0.642163435867218,0.657137489844455,0.649560887299543,0.672425866605941,0.254527577935441
"cg00005617",0.031939550050869,0.332112948296507,0.740377510947255,0.949794830291338,-5.86516054408153,0.884510073667263,0.702342964637835,0.873692995656285,0.708735859600763,0.706792202698816
"cg00006815",-0.079635670007504,-0.913728505547834,0.362673251204418,0.816218197194557,-5.52726262665387,0.0739284523543163,0.290002745421161,0.0911554775705862,0.287371932131132,0.474659622995202
"cg00006848",0.00279951565502246,0.0333234413160457,0.973471465392113,0.996434899725458,-5.91626502586642,0.716043083512094,0.640002990803972,0.699722260985671,0.649871592117835,0.90884685715662
"cg00008932",0.0823209156350386,1.16556993529022,0.246076574567236,0.746456370274217,-5.28440622645927,0.834274424546634,0.690270354710219,0.842379663113279,0.703014470783565,0.268685576087696
"cg00008945",0.0985722698379005,0.950763496524444,0.343616143287283,0.805706864210441,-5.49517458217632,0.126161685386921,0.478031591820569,0.135204514525461,0.502957864171098,0.35863408791776
"cg00011200",0.0567714925597483,0.692012274912367,0.490252934346381,0.873446675494848,-5.69301299324506,0.0706267783254415,0.601320481969314,0.113951849552189,0.622975985246884,0.489338588352501
"cg00011891",0.0316096488490888,0.586104919798742,0.558894690372589,0.902606019857821,-5.75616933907396,0.0755306323200277,0.551191843303347,0.104049702980625,0.563421208908231,0.549433384809139
"cg00012395",-0.0314089158223969,-0.255010646992559,0.799146996245338,0.962957678785912,-5.88634201582336,0.90809187768109,0.893798001685575,0.900781968116598,0.899127180459731,0.890220885865975
"cg00012680",-0.0244895678190915,-0.305772389847367,0.76030240611656,0.955729078565914,-5.87302144413647,0.328024500796291,0.491171523947647,0.333547699894444,0.490084340166536,0.855205303931644
"cg00014152",0.0616168253520802,0.661690832145847,0.509425163464373,0.88364893356741,-5.71215612934251,0.942075281981365,0.948267043889049,0.937104242256031,0.951088155333658,0.506174453164108
"cg00016522",0.0229476504346364,0.226790128602738,0.820968926401526,0.968440176692514,-5.89270564130851,0.0749575781527928,0.53496152650149,0.149450432348681,0.546475576208502,0.776465656259989
"cg00016934",-0.0146571620561385,-0.106877413930392,0.915062901433673,0.988567235576371,-5.91143634744247,0.328542943634159,0.314618334467152,0.322139151368041,0.304091112125032,0.993383816153167
"cg00017004",0.13440256859035,1.17932640251145,0.240577547913603,0.74182524107408,-5.26948244408163,0.895310112159682,0.819820979640113,0.881097412746351,0.832914895423223,0.263506235845301
"cg00017099",0.0561814581948553,0.550030744798174,0.583310277706543,0.90974014781711,-5.77530679220827,0.854704264207444,0.822201320360386,0.862304575894362,0.82191731955782,0.570703121906923
"cg00017110",-0.053321349508654,-0.578884355665448,0.56374124259794,0.90447830635023,-5.76009658642576,0.892745683379376,0.820582248550838,0.901063457666731,0.82559180206513,0.673267677716918
"cg00018204",0.0371069935686852,0.299424520628579,0.7651289031042,0.956014924819018,-5.87481894425388,0.743183720374183,0.759795847612688,0.726877114589824,0.759978770940139,0.728185833937521
"cg00018261",0.0916706788196787,1.3035861795522,0.194844897311161,0.705575793270509,-5.12695646189569,0.0789484514225172,0.658870612015403,0.119326914954754,0.672830605996305,0.219835076482136
"cg00019168",-0.0965775223622012,-1.08714917117507,0.279127722838901,0.767746216359446,-5.36621187859725,0.627386365995147,0.670264744036372,0.648469441066683,0.650994918485173,0.386053304053027
"cg00021786",-0.234714811520664,-2.28427319434246,0.0240950591408965,0.40235509344815,-3.52815298193538,0.943885311672298,0.887408980649727,0.937439750383981,0.881838540038832,0.055464846762432
"cg00022064",0.0229326902715552,0.356654899629735,0.721970196897933,0.94632570498372,-5.85725335692655,0.344183064672918,0.360374242033519,0.335750466241094,0.370780826608018,0.69087998704438
"cg00023415",-0.159372060910257,-2.01559361593076,0.0460538155633618,0.488597994046029,-4.04778313369075,0.906512780994785,0.895031123594554,0.904321718547134,0.888991405997069,0.0929744202710478
"cg00025987",0.0101598563373665,0.156341315908896,0.876024051417686,0.981015290739667,-5.90534053091321,0.349792941316911,0.455481782822521,0.374495063706396,0.462170458667593,0.824134802629719
"cg00027076",0.0568186794162822,0.630608813661731,0.529483352405672,0.891090209651708,-5.73089604068074,0.770088784367364,0.757439133147963,0.744587109754742,0.760913194114767,0.52374378175786
"cg00027454",-0.0088211099835869,-0.0818899004327791,0.934869318174393,0.990945678039311,-5.91364491450174,0.563570269471213,0.587414818178982,0.525196504655093,0.590936957931487,0.989155989606256
"cg00029931",0.113597699347751,0.931783687325305,0.353300314310286,0.809982504654888,-5.51177598112484,0.0959588000646211,0.51326920894709,0.118544717165601,0.543809364946735,0.367402924562854
"cg00030125",0.0389001787140339,0.333275102594083,0.739502353884143,0.949794830291338,-5.86479879305497,0.890249888242801,0.81818125423602,0.892666125584053,0.826451129738676,0.706035735680029
"cg00031235",-0.212442069528661,-2.03128524348446,0.0444127369915426,0.4826626738278,-4.01908748906474,0.892819057869295,0.780277969555707,0.886573413409475,0.760692198447348,0.0903309468851172
"cg00032666",-0.0196438918733814,-0.25170207323696,0.801697554596657,0.963856538814727,-5.88712662231581,0.707916652066531,0.678062878092544,0.702461401604725,0.679551337074768,0.892511365566445
"cg00033732",-0.143834632506735,-1.74902652619185,0.0828174147637609,0.561145414060608,-4.50334402704241,0.128510069473408,0.14967265126691,0.132303631031557,0.145956402830142,0.148048963791339
"cg00034639",0.176065456268478,2.46216365082882,0.01521591984459,0.34188357050792,-3.15159371351149,0.69994129883372,0.673412679373884,0.702069998314363,0.701300998571217,0.0249853982368002
"cg00034731",-0.0358642502931943,-0.439211696830387,0.661290032502563,0.931389480698953,-5.82652956172538,0.729127411715539,0.69838260881205,0.707818384092215,0.702132347643836,0.764677028336275
"cg00035864",0.0281268282134733,0.272012246017785,0.786075329606593,0.960669068319387,-5.88214879124278,0.181547825494676,0.45630695463214,0.170948111856201,0.474083599650035,0.746291921501564
"cg00036045",-0.116445128621004,-1.06017538773261,0.291172519204385,0.776262297531168,-5.39306103118758,0.425798421214983,0.382242668077052,0.410667369654142,0.372650865653243,0.399131286820444
"cg00037117",0.139764138354518,1.37322543364332,0.17221683488989,0.689404610176835,-5.04102814666218,0.71414395592253,0.777237731299328,0.68865455445092,0.787155656792092,0.19776141695115
"cg00039328",-0.167783899507696,-1.84112569537092,0.0680480361939679,0.527246834744076,-4.35280708370076,0.786079446855644,0.72963147105359,0.783071453719389,0.718015587874359,0.126732124269082
"cg00040455",0.123886173061547,1.3704472872047,0.173079688587934,0.689746419409613,-5.04453900658231,0.103242318631344,0.394945723173591,0.135960016890649,0.411249690417497,0.198609740040589
"cg00040923",-0.0232656068380065,-0.401322375072206,0.688889336063949,0.936741391122829,-5.84141936701563,0.664115287873668,0.630873348471742,0.653366887838947,0.625853988614707,0.790114498485757
"cg00042688",0.146325507524507,1.34586732158687,0.180856915197605,0.695022186696828,-5.07530196604731,0.676002133449138,0.717310728239244,0.61696112060458,0.737144620363788,0.206231514070463
"cg00042902",-0.057832013195946,-0.607147535511084,0.544888524111814,0.897643701757811,-5.74444838084494,0.217791476986132,0.623560448755588,0.249386247486313,0.637157173445535,0.655293914849324
"cg00042904",0.0956359243610815,1.14781863423681,0.253303513987533,0.751208898320364,-5.30341115925653,0.817977520184716,0.83110764428807,0.799539062834343,0.84196030352422,0.275471678593869
"cg00045034",-0.102908352615826,-1.28591777523654,0.200922545160137,0.711310749252888,-5.148067896416,0.0550362925563078,0.429008530124301,0.0792342104597776,0.420834138212544,0.297933604296657
"cg00046099",0.102013174449809,1.04551391735855,0.297865752550468,0.78220646578914,-5.40737736197081,0.146697219930845,0.628493617805419,0.190370670972889,0.653742375127945,0.316850176791338
"cg00050611",-0.0984192072287922,-1.4157491642852,0.159413032140367,0.673781604587245,-4.98643182597712,0.865308264448895,0.853879135475527,0.858316048430048,0.85326614252951,0.248262891619755
"cg00051952",0.0461422751579653,0.425783912292519,0.671020289820836,0.932992011073501,-5.83195951841182,0.730051882310211,0.739488292825071,0.721366109860976,0.744953503574936,0.646806530560652
"cg00055165",-0.273960232673471,-3.08276177535744,0.00253953786027983,0.15962484034219,-1.64419705845511,0.220563259778481,0.76820749968733,0.254590162893697,0.748743485070524,0.00893531730646927
"cg00057417",0.106273683717851,1.0322905498692,0.303991066397535,0.786976211677217,-5.42012171103631,0.75620541450355,0.778967553212032,0.736505610061779,0.788136514872035,0.322481719371206
"cg00058055",0.237328513183622,2.59902579296509,0.0105089742918065,0.302338709495478,-2.84467007234089,0.782009476078099,0.816828124820019,0.765748174693668,0.83900487512337,0.0182016701612032
"cg00059162",-0.175800758630137,-1.6956280796819,0.0925231886826541,0.582057493386108,-4.58727318666635,0.236275338164754,0.200737720820764,0.239775015110465,0.195925394431325,0.161605586918922
"cg00059277",-0.0761667425457269,-1.29295403056023,0.198485613448845,0.708397406471166,-5.13969400221977,0.865305730387642,0.794720569096593,0.856434910564071,0.79161141532158,0.295082446780023
"cg00060843",0.169992511864597,1.52964570288251,0.128709704042988,0.640355640020237,-4.83230287649203,0.788649326141808,0.769912741889617,0.776203543868367,0.785557064425883,0.154172895613322
"cg00061679",-0.105075827360724,-1.10031075568682,0.273376860800942,0.763390037459281,-5.35287130723633,0.624291129902332,0.500810670565672,0.609578918421226,0.489054009176906,0.379768144565313
"cg00063477",0.0902325907547271,0.78886505992371,0.431730931494952,0.848364769098055,-5.626175756574,0.893454028499808,0.490371049604599,0.875435898075271,0.502197281821286,0.43764085859954
"cg00064180",-0.306684209620754,-3.04739792104301,0.00283378715365953,0.167751508174056,-1.73789341594154,0.188615939616314,0.208782679167932,0.177084761550785,0.185026695303489,0.00977898501326263
"cg00066481",0.0230451537384497,0.309341351155749,0.757592935188578,0.954935352484289,-5.8719943034125,0.795355158146564,0.844675544599237,0.807967816343791,0.84940671675923,0.721672242767244
"cg00069001",-0.201746705214649,-1.66997543465576,0.0975043885718907,0.591932766625579,-4.62671354053729,0.893435927117301,0.76261347856952,0.88770714321823,0.73804889326579,0.168442443536706
"cg00070205",0.150042774415774,1.27719917882754,0.203972708736222,0.713995426139796,-5.15838238816872,0.650377645684211,0.714053466902227,0.667000650014825,0.729936079031163,0.22864465559733
"cg00070542",0.0307522857892257,0.340915040887099,0.733757667059837,0.949348259602299,-5.86238926561907,0.396533697671056,0.430813814823267,0.396580517240806,0.437263202550649,0.701070022574332
"cg00071863",0.305016375695914,2.6642609362524,0.00876553795322711,0.278925402892392,-2.69319482467717,0.506734179416798,0.379158391941201,0.517090701677191,0.419280326849205,0.0155794359734533
"cg00072288",0.054740167839688,0.383125745558816,0.702297528642819,0.940245129240969,-5.84809450764986,0.10060065411206,0.445038189452752,0.120642830629208,0.443901426979493,0.673869119095435
"cg00072587",0.0191068766509392,0.201160338530351,0.840910332931961,0.975377603005422,-5.89783966414926,0.307359610518006,0.372095222837662,0.294475152193749,0.387554128359574,0.793721016939863
"cg00072799",0.00742402205244136,0.0838141349369819,0.933342457077582,0.9905219208966,-5.91349561434216,0.698227771582929,0.742794880757799,0.70401219340052,0.749541941014411,0.873895760370334
"cg00072839",0.155441131957847,1.69558004295583,0.0925323193402594,0.582057493386108,-4.58734757618624,0.130681909610373,0.152830148713933,0.148855999717267,0.174583381553563,0.11635276061813
"cg00074638",-0.0233785391840257,-0.715891866691978,0.47543482708719,0.866137276390512,-5.67733837216298,0.566029971048967,0.567646769247022,0.5755074412314,0.572235113836007,0.588055283843723
"cg00076099",0.210587395309219,2.46808972184735,0.0149784380105448,0.34065098821896,-3.13861164774565,0.732612494992071,0.712813565976378,0.697681521994936,0.736023729702846,0.0246516380130329
"cg00076400",0.00834396444083823,0.0580823959834129,0.953778628239823,0.994467680072302,-5.91520530090115,0.165190284666603,0.552829018656027,0.210201410763547,0.572522303876291,0.89168165119284
"cg00078867",0.0250598034594606,0.292578474713167,0.770344544221433,0.95759716995823,-5.87671531436848,0.129735699812451,0.53656604802311,0.145046740023927,0.538635761444477,0.732693981114647
"cg00079479",0.0295053619716495,0.381588060206576,0.703434954429281,0.940756580760079,-5.84864442985582,0.0986326892174021,0.584652461911924,0.130189703945404,0.603683936113868,0.674852830690697
"cg00081572",0.141737220574675,1.73692550752783,0.0849403735719974,0.564744143664496,-4.52258008235242,0.775280053054727,0.740504401248155,0.734077077866108,0.757947401752429,0.108168993090445
"cg00090581",0.0993609605834538,0.954187332449126,0.341887625551671,0.804882035688764,-5.49214471789009,0.760454234867752,0.747404277266849,0.728136450786717,0.755021509686524,0.357066372108009
"cg00091810",-0.00387094032978627,-0.0399170713223176,0.968224905592004,0.996348252611244,-5.91603889164283,0.857719191493264,0.712070409135942,0.848156412546354,0.715983834549395,0.95984313714836
"cg00093999",-0.124366666601352,-1.0825153462918,0.281172126299318,0.76909320432692,-5.37087130225398,0.878454020591635,0.757424370059336,0.886153821408283,0.742375751749204,0.388281164539782
"cg00096071",-0.0353554837545281,-0.450150328895009,0.653406010318565,0.929439171468144,-5.82198199787727,0.911034162120638,0.859783343036707,0.898584611072597,0.86271608488638,0.757378890445304
"cg00097839",-0.115995470131865,-1.29391141774533,0.198155730933973,0.708397406471166,-5.13855118043238,0.794898834108187,0.742668058682116,0.7762339139413,0.730677827645612,0.294695921851792
"cg00098732",-0.053754795902241,-0.699101446868805,0.485827784285754,0.871261355964986,-5.68841465810787,0.85731312003006,0.690571100985116,0.861925323418935,0.682820599837335,0.598227220119399
"cg00099616",-0.0527938730425234,-0.591773049107251,0.555104564536146,0.901786286209669,-5.75305255745381,0.106323897688092,0.508268911383945,0.137649652012368,0.522378715430707,0.665047272650613
"cg00101578",0.00225428078395173,0.0260084859478868,0.979293335010076,0.996794025933085,-5.91646825793649,0.780001779701642,0.748649378143953,0.763892021920956,0.744702827758623,0.913926786785035
"cg00102779",0.0941047931296337,1.12432661239346,0.26309584766013,0.759177665890775,-5.32812404327811,0.530136308763918,0.665348250368415,0.501336589774691,0.66574359743321,0.28463081953672
"cg00108056",-0.0624946080898116,-1.21082419020437,0.228318096124506,0.736155949793335,-5.23466879496433,0.0785630194296561,0.366224202531133,0.0925732131534336,0.371410407478923,0.329506053156956
"cg00108737",0.0999310443541302,0.956991025699255,0.340476387363269,0.803870846281545,-5.48965565688378,0.694273612249982,0.723674891905035,0.705407650158849,0.734658280281135,0.355785828585008
"cg00111239",0.0143534059205528,0.125364388200883,0.900442741549512,0.985943624395955,-5.90942609918081,0.0767470791075478,0.398384849586129,0.112203865000026,0.411024841542829,0.84531387574946
"cg00112229",-0.0424920409542308,-0.494731513832458,0.621685081460497,0.921608018046149,-5.80229556636876,0.831737169462317,0.663837230793978,0.814849686051027,0.663444547605109,0.727864213635345
"cg00112256",-0.0111668562765735,-0.240413830179348,0.810415545413045,0.965054356863356,-5.88972652379263,0.106176015946599,0.55375819446237,0.134611614214749,0.55968801969132,0.900332696156166
"cg00113442",0.0464273011760123,0.462268427913544,0.644717428332574,0.927023367463987,-5.81681395517297,0.736785241478341,0.695748991848805,0.732523065483344,0.707186971362385,0.624023799544755
"cg00113623",-0.0154513806510819,-0.202218603305865,0.840084800489903,0.974834905575247,-5.89763984043649,0.110726313449571,0.594267082405677,0.181872787597122,0.590817420164084,0.926864590012305
"cg00114625",0.0794733866036134,1.53561945487318,0.127237617916975,0.640355640020237,-4.82390290143894,0.0738119842606912,0.588308851550383,0.10609497217137,0.605139269152914,0.152666106033578
"cg00114913",-0.0628084705352708,-0.736595470631838,0.462791464741172,0.861391872975933,-5.66332206354489,0.0844654817060435,0.517620339680673,0.104705819371418,0.525162177263112,0.575623932118283
"cg00116265",-0.146572400981399,-1.40033170708477,0.163968259140471,0.679813633505741,-5.00641218161918,0.210595493368998,0.51755651713055,0.212913411723078,0.495166351537407,0.253838042920274
"cg00116709",-0.0627404209884863,-0.686560555792214,0.493670838102723,0.875517373726422,-5.69651759666379,0.156702995755579,0.741803580305281,0.208137768800404,0.751543565128823,0.605876423826681
"cg00116765",-0.0995456959228393,-1.13156859243616,0.260049316508443,0.757268239630744,-5.32055896280526,0.82001104563619,0.834841779260216,0.798103403016061,0.826964271045513,0.365095384291372
"cg00117066",-0.215529873624376,-2.08950139061401,0.0387537229464124,0.466108554997786,-3.91082261769716,0.832093058048615,0.718172721353907,0.820758906449346,0.695699150402411,0.0810476902696984
"cg00117663",0.145469735995087,1.32515658262343,0.187611428215323,0.700925217104635,-5.10080378375244,0.845821394487559,0.852232534507055,0.831510986864639,0.875405776257153,0.212816620441375
"cg00118309",-0.181867030261555,-2.55736370809829,0.0117799675030975,0.317154214243202,-2.93966648761331,0.671176293119461,0.516612616496943,0.666118236138495,0.504572054133502,0.0312100118608313
"cg00120118",0.042705135139349,0.422447708789775,0.673446590486189,0.933032368305236,-5.83328255777566,0.717375594369139,0.712704088699707,0.698625698294855,0.723931734930374,0.648906866659849
"cg00120172",0.185023678388297,1.97309948784546,0.0507596641070367,0.494754289812365,-4.12445233137948,0.859164493289208,0.873856134177794,0.842415398682924,0.886690115505588,0.0697833006241349
"cg00121626",-0.154867272827948,-1.61732188201234,0.108408014376136,0.613530593471863,-4.70587243856784,0.307349801036473,0.451555884794726,0.313912987506542,0.439935668663072,0.183151909652848
"cg00121904",0.25081677750103,2.01494572708008,0.0461226708781059,0.488597994046029,-4.04896349353054,0.101181992474087,0.233195178127637,0.104575995177747,0.264963784948683,0.0643189007842061
"cg00123001",-0.0943564069421794,-1.0550816263629,0.293486215137199,0.777788225226573,-5.39805704248361,0.916567318579806,0.912366229092658,0.895953183316278,0.905024113057726,0.401630546192805
"cg00124101",-0.191795145414431,-3.43713293811637,0.000806132444147429,0.0982730526787677,-0.655869313864013,0.651613136650493,0.688288775560564,0.644442243410471,0.665965810285588,0.00344598979945995
"cg00124708",0.00340702202823104,0.0427426967015391,0.965976964593012,0.995705384109359,-5.91592952176288,0.679641820633575,0.72464917002067,0.673582390574325,0.733159094112905,0.902311094435238
"cg00126657",0.0739801813479092,0.978820008713678,0.329618246726367,0.79711894141183,-5.4700306604032,0.807553090970754,0.702785293347076,0.790289431651595,0.715854832764725,0.345915054214689
"cg00126698",-0.0922675931540449,-1.01157534978347,0.313755916353312,0.789616777033301,-5.43976640674045,0.747721411935565,0.686918016926286,0.700868185125268,0.684243543569806,0.423357065863542
"cg00127620",-0.10665755870526,-1.4234878855139,0.157163398523745,0.670599705817861,-4.97632318797516,0.870988959108235,0.785064011837183,0.859068016417893,0.775597322775518,0.245496998886679
"cg00128197",0.186981244155371,1.71254647181664,0.0893526707798862,0.574426750539413,-4.56094891787082,0.0799516679084884,0.302177250620824,0.0903043617529667,0.335231190216883,0.112937490814817
"cg00129074",-0.088703724291406,-0.962147716518514,0.337890649330903,0.803170615770575,-5.48505889264502,0.822168144746255,0.739356503730877,0.821464819718121,0.727900836550672,0.448856473923788
"cg00130498",0.0114167011839952,0.163414885982961,0.870463901221177,0.980178440317584,-5.90428163067353,0.643404781409572,0.604371029647851,0.635577941098232,0.607755754492413,0.81931588929905
"cg00130820",0.151482646373304,1.1553302309651,0.250227317250002,0.749459179116177,-5.29540384329452,0.0643985871954104,0.278399134831523,0.0786516688458071,0.295462872268128,0.272585945486053
"cg00133938",0.108079602993009,1.1469547286405,0.253659008485282,0.751254769811471,-5.3043288057323,0.817869073831418,0.777599638334304,0.786242251803898,0.788880192601508,0.275804897302867
"cg00135489",-0.0740447971654874,-0.785113106823293,0.433918930021853,0.848945291839954,-5.62892606038997,0.914802720465288,0.901727064451737,0.902191541107527,0.897920363482171,0.546988397899346
"cg00136034",-0.190060663007812,-2.02652081370091,0.0449056515632434,0.485139199470401,-4.02782218634153,0.322860981823447,0.254746830050519,0.305139012091495,0.242401566090177,0.0911271097993895
"cg00136787",0.0966608699818289,0.965535040418085,0.336199099416309,0.801740230619778,-5.48202614858301,0.898880770104661,0.893214003423866,0.893616363575606,0.903239019621632,0.351901372521544
"cg00138463",0.06311652756493,0.924638770386972,0.356990740429648,0.812601083739105,-5.51794014733401,0.901334992931411,0.892975151833233,0.890864306395835,0.897619860306004,0.370738256288396
"cg00139317",0.0576622690118995,0.999370372196139,0.319605943347625,0.791519976029737,-5.45115757899165,0.0581472824950665,0.518870146105271,0.0998304738249632,0.531807693720974,0.336783526797437
"cg00140189",0.0787769157502541,0.798257075441685,0.426282325397146,0.847026213211142,-5.61923424616977,0.884383167160207,0.672741385784445,0.87386197498091,0.680313770545479,0.43280045102543
"cg00140764",-0.0822213561478259,-1.45361533843186,0.148636909714176,0.662766995368352,-4.93646344960817,0.874794807800264,0.843782752601697,0.872523836227783,0.841378169286099,0.234935279041505
"cg00140927",-0.0488078137097798,-0.50158352282857,0.616870203346108,0.91917032197647,-5.79910580094422,0.629551994385925,0.635069921603078,0.616237025326916,0.624037550286979,0.723362212229281
"cg00141550",0.00126710868678019,0.0173238730292807,0.98620672038299,0.997687492398816,-5.91664447844812,0.715836134959394,0.7097153626592,0.701465553081787,0.71721072279057,0.919962438109922
"cg00141845",-0.148355949724404,-1.52745094078217,0.129253903552305,0.640355640020237,-4.83538114522238,0.507913641335598,0.537378352772861,0.515179809864123,0.537404311552751,0.210422184883281
"cg00142060",0.00823527413126704,0.0856448662186693,0.931890020224991,0.990465991921711,-5.91335035060036,0.647764493123734,0.687952357331265,0.646251806417126,0.690353495676771,0.872632666731877
"cg00142069",-0.0626430134573239,-0.843695865106623,0.400501125763767,0.835911586533294,-5.58450451521402,0.862300416030838,0.810415472180247,0.859314073383199,0.808041702490358,0.513379339057803
"cg00142683",0.112332263089091,0.772507534728764,0.441317382105279,0.85194612556116,-5.63807135273635,0.0553275199418327,0.410883023924548,0.075106791777657,0.4252596340752,0.446145051479871
"cg00144201",0.194176407086779,1.52055579470403,0.130975357485702,0.64163837144419,-4.84502435379913,0.701564486097764,0.712185488956488,0.667480028633329,0.740275604939822,0.156487334275613
