CpG,logFC,t,P.Value,adj.P.Val,B,Male_ART_mean,Female_ART_mean,Male_nonART_mean,Female_nonART_mean,Male_nonART_v_ART_dB,Female_nonART_v_ART_dB,chr,pos,bacon_pvalue,adj_bacon_pvalue
cg00004031,0.140993193761096,1.50861496999774,0.133997033122953,0.778026647563267,-4.70447372496201,0.642163435867218,0.657137489844455,0.649560887299543,0.672425866605941,-0.00739745143232573,-0.015288376761486,chrX,139770907,0.229894553354906,1
cg00005617,0.0801086946853133,0.851032394103638,0.396427948318601,0.898729402487598,-5.39487303925984,0.884510073667263,0.702342964637835,0.873692995656285,0.708735859600763,0.0108170780109783,-0.00639289496292805,chrX,68059898,0.568898417594295,1
cg00006815,-0.00684235333218756,-0.0814447705320543,0.935222455223951,0.990719241236004,-5.71746413650472,0.0739284523543163,0.290002745421161,0.0911554775705862,0.287371932131132,-0.0172270252162699,0.00263081329002912,chrX,103810908,0.745147050003841,1
cg00006848,0.0703219053662107,0.849645905757244,0.397195527073497,0.898729402487598,-5.39592957404802,0.716043083512094,0.640002990803972,0.699722260985671,0.649871592117835,0.0163208225264234,-0.00986860131386236,chrX,146646784,0.569801232769183,1
cg00008932,0.0933573028477239,1.38235163165072,0.16940332638635,0.807793752911783,-4.866021471971,0.834274424546634,0.690270354710219,0.842379663113279,0.703014470783565,-0.0081052385666458,-0.0127441160733461,chrX,71498597,0.280373889302426,1
cg00008945,0.166183191950473,1.65753360350236,0.0999953182738443,0.752321587994789,-4.49658335458155,0.126161685386921,0.478031591820569,0.135204514525461,0.502957864171098,-0.00904282913854076,-0.0249262723505282,chrX,80377379,0.1791039164848,1
cg00011200,0.130298197354886,1.63571930422569,0.104490174192378,0.752321587994789,-4.52820208195068,0.0706267783254415,0.601320481969314,0.113951849552189,0.622975985246884,-0.0433250712267474,-0.0216555032775704,chrX,48380234,0.185972364056422,1
cg00011891,0.0551355178352486,1.04375317801785,0.298674903115904,0.868893648101109,-5.23152582568376,0.0755306323200277,0.551191843303347,0.104049702980625,0.563421208908231,-0.0285190706605972,-0.0122293656048837,chrX,153714660,0.450493950243838,1
cg00012395,0.0169889220644518,0.142598941684458,0.886843486385006,0.987597141702549,-5.71128533597565,0.90809187768109,0.893798001685575,0.900781968116598,0.899127180459731,0.00730990956449173,-0.00532917877415551,chrX,129472061,0.912351356816317,1
cg00012680,-0.063986810119142,-0.827177033575273,0.409760734504584,0.901227020482001,-5.41281424771338,0.328024500796291,0.491171523947647,0.333547699894444,0.490084340166536,-0.00552319909815352,0.00108718378111128,chrX,135251566,0.298069945783651,1
cg00014152,0.057095342422984,0.635230490426631,0.526474381239517,0.929498207169526,-5.53879379422153,0.942075281981365,0.948267043889049,0.937104242256031,0.951088155333658,0.00497103972533441,-0.00282111144460895,chrX,48457128,0.71689557277895,1
cg00016522,0.0477999741072675,0.474380015348694,0.636081664106487,0.94933471127209,-5.61906312227292,0.0749575781527928,0.53496152650149,0.149450432348681,0.546475576208502,-0.0744928541958884,-0.0115140497070116,chrX,149737876,0.835015398669276,1
cg00016934,-0.120583133517681,-0.914437912812047,0.362300626119668,0.891723313567089,-5.34474184313878,0.328542943634159,0.314618334467152,0.322139151368041,0.304091112125032,0.00640379226611737,0.0105272223421198,chrX,40035961,0.260882060446059,1
cg00017004,0.137353072265927,1.26146928080817,0.209559926987953,0.832748053088833,-5.00789798727636,0.895310112159682,0.819820979640113,0.881097412746351,0.832914895423223,0.0142126994133308,-0.0130939157831095,chrX,152040289,0.335300579486441,1
cg00017099,0.0220176331846994,0.221570748721296,0.825020568698327,0.982284243819681,-5.69831840444301,0.854704264207444,0.822201320360386,0.862304575894362,0.82191731955782,-0.00760031168691766,2.8400080256685e-4,chrX,153057870,0.972638679232798,1
cg00017110,0.00919977950323374,0.101815745932021,0.919071013028232,0.989200687559515,-5.715780509901,0.892745683379376,0.820582248550838,0.901063457666731,0.82559180206513,-0.0083177742873547,-0.00500955351429144,chrX,150123346,0.881391898144167,1
cg00018204,-0.0175257615842907,-0.146309095793784,0.883920218013603,0.987517555017211,-5.71080197934482,0.743183720374183,0.759795847612688,0.726877114589824,0.759978770940139,0.0163066057843592,-1.8292332745073e-4,chrX,151128776,0.698546850474966,1
