regulatory_stable_id	chr	start	end	feature_type_name
ENSR00000246526	chrX	48767200	48770801	Promoter
ENSR00000249590	chrX	152987600	152993201	Promoter
ENSR00000248346	chrX	118698200	118699801	Promoter
ENSR00000423364	chrX	48929201	48932401	Promoter
ENSR00002096583	chrX	25029001	25034600	Promoter
ENSR00000423354	chrX	48812800	48817201	Promoter
ENSR00000423848	chrX	100660200	100666201	Promoter
ENSR00000249678	chrX	153716801	153720001	Promoter
ENSR00000244760	chrX	15510000	15512201	Promoter
ENSR00000422673	chrX	15511801	15512200	CTCF Binding Site
ENSR00000245550	chrX	31281801	31285401	Promoter
ENSR00002097003	chrX	31285001	31285200	CTCF Binding Site
ENSR00000423313	chrX	47861600	47864400	Promoter
