"","logFC","t","P.Value","adj.P.Val","B","Male_ART_mean","Female_ART_mean","Male_nonART_mean","Female_nonART_mean","bacon_pvalue"
"cg00004031",-0.0843310645779188,-0.453825561625744,0.651095744225611,0.871204854221553,-5.156468102973,0.642163435867218,0.657137489844455,0.649560887299543,0.672425866605941,0.712845441756824
"cg00005617",-0.274494092509253,-1.25332712515333,0.213477983762778,0.616002464546871,-4.66598676909218,0.884510073667263,0.702342964637835,0.873692995656285,0.708735859600763,0.307782028054223
"cg00006815",0.320449717008116,1.75333861725686,0.0831013051654621,0.510359461600406,-4.13695153525476,0.0739284523543163,0.290002745421161,0.0911554775705862,0.287371932131132,0.152284591323367
"cg00006848",-0.213747140043623,-0.987438547270739,0.326193279872634,0.693938278558892,-4.87887963396732,0.716043083512094,0.640002990803972,0.699722260985671,0.649871592117835,0.421915362094681
"cg00008932",0.0137908541426945,0.0816836173047181,0.935087808363701,0.978540045118582,-5.22891467107808,0.834274424546634,0.690270354710219,0.842379663113279,0.703014470783565,0.945328568177314
"cg00008945",0.220528598765665,0.901358786370597,0.36991093141066,0.723240135913444,-4.93730091060004,0.126161685386921,0.478031591820569,0.135204514525461,0.502957864171098,0.461200242836258
"cg00011200",0.561450952199932,1.28681928980623,0.201604747571093,0.606683374386453,-4.63573867731214,0.0706267783254415,0.601320481969314,0.113951849552189,0.622975985246884,0.293191697053997
"cg00011891",0.931680873457079,2.84565560670528,0.00553752201253433,0.480233209081389,-2.44930234801567,0.0755306323200277,0.551191843303347,0.104049702980625,0.563421208908231,0.0202277446519209
"cg00012395",0.047090779182428,0.222870095200177,0.824164252759838,0.939158914136805,-5.21326507790569,0.90809187768109,0.893798001685575,0.900781968116598,0.899127180459731,0.85425949912661
"cg00012680",0.0791675490536778,0.447626886393154,0.655546195152745,0.872417701199579,-5.15849653087826,0.328024500796291,0.491171523947647,0.333547699894444,0.490084340166536,0.713667407443568
"cg00014152",-0.057119596735819,-0.330324457749692,0.741956880294898,0.908729341001433,-5.19164697454541,0.942075281981365,0.948267043889049,0.937104242256031,0.951088155333658,0.789204060439314
"cg00016522",0.877287526308198,2.98174273025238,0.0037260815859018,0.480233209081389,-2.19353565583091,0.0749575781527928,0.53496152650149,0.149450432348681,0.546475576208502,0.014972191941769
"cg00016934",0.112155702954655,0.631582316930647,0.529332407860538,0.812953958619449,-5.08653253437873,0.328542943634159,0.314618334467152,0.322139151368041,0.304091112125032,0.605213604591458
"cg00017004",-0.0738320815915082,-0.353177375715317,0.724818316437021,0.901293024373379,-5.1859695031017,0.895310112159682,0.819820979640113,0.881097412746351,0.832914895423223,0.774895911571677
"cg00017099",-0.0449965983505889,-0.225254184452853,0.822315081751509,0.938667414011924,-5.2128763686637,0.854704264207444,0.822201320360386,0.862304575894362,0.82191731955782,0.855835110875439
"cg00017110",0.262928170563019,1.42103443697037,0.158916844274001,0.569362958903666,-4.50694334699257,0.892745683379376,0.820582248550838,0.901063457666731,0.82559180206513,0.245815192049737
"cg00018204",-0.0597336348065321,-0.2649146128208,0.79170813671546,0.92846454992315,-5.2058043923324,0.743183720374183,0.759795847612688,0.726877114589824,0.759978770940139,0.830535860374169
"cg00018261",0.471449104213371,1.35035370916701,0.180439811859648,0.588512551110276,-4.57627637746175,0.0789484514225172,0.658870612015403,0.119326914954754,0.672830605996305,0.270050375648282
"cg00019168",0.105402738370009,0.534816564174215,0.594154595694441,0.84509545979381,-5.12741998675376,0.627386365995147,0.670264744036372,0.648469441066683,0.650994918485173,0.661369875018712
"cg00021786",-0.0480391685426611,-0.240553300332364,0.810472947861171,0.936035215083894,-5.210283680729,0.943885311672298,0.887408980649727,0.937439750383981,0.881838540038832,0.846056797424115
"cg00022064",0.0986525653151605,0.669476008992313,0.504982437201225,0.79936206911432,-5.06869382176989,0.344183064672918,0.360374242033519,0.335750466241094,0.370780826608018,0.583820172222453
"cg00023415",-0.0991909976027291,-0.54493270265723,0.587207941483851,0.841136505517074,-5.12346006276511,0.906512780994785,0.895031123594554,0.904321718547134,0.888991405997069,0.658258552562574
"cg00025987",0.259558010033819,1.36729604417677,0.175089896574778,0.583229376435046,-4.55996152470125,0.349792941316911,0.455481782822521,0.374495063706396,0.462170458667593,0.2640969634866
"cg00027076",-0.419488251828645,-2.05989155736737,0.0424272206820986,0.480446188321627,-3.73346201254685,0.770088784367364,0.757439133147963,0.744587109754742,0.760913194114767,0.0934456594008645
"cg00027454",-0.225676766748221,-1.54996754697961,0.124815773181973,0.54066633861015,-4.37192944456757,0.563570269471213,0.587414818178982,0.525196504655093,0.590936957931487,0.207040922252114
"cg00029931",0.350477557389663,1.14725745504797,0.254451799299271,0.643249716508883,-4.75674473764167,0.0959588000646211,0.51326920894709,0.118544717165601,0.543809364946735,0.348574400128364
"cg00030125",0.0993181295913907,0.576269216750256,0.565935958228275,0.829206952835828,-5.11072692332199,0.890249888242801,0.81818125423602,0.892666125584053,0.826451129738676,0.637055401953359
"cg00031235",-0.207758260014271,-1.13086308704837,0.261251515445507,0.64758467673945,-4.77008539755211,0.892819057869295,0.780277969555707,0.886573413409475,0.760692198447348,0.357552038261652
"cg00032666",-0.0154994216505779,-0.0920582671755783,0.926865505594554,0.975372578510063,-5.22825843978427,0.707916652066531,0.678062878092544,0.702461401604725,0.679551337074768,0.941741592880863
"cg00033732",0.210098311013041,1.28815645491529,0.201141090861369,0.606140978095514,-4.63451526463654,0.128510069473408,0.14967265126691,0.132303631031557,0.145956402830142,0.29269134366018
"cg00034639",-0.0534602720939998,-0.401266884883054,0.689217356728294,0.88406020503749,-5.1727874260333,0.69994129883372,0.673412679373884,0.702069998314363,0.701300998571217,0.745040968489649
"cg00034731",-0.157760341719852,-0.918760281861751,0.360786549844348,0.717006643762153,-4.92590917778756,0.729127411715539,0.69838260881205,0.707818384092215,0.702132347643836,0.454998402772641
"cg00035864",-0.295638571078654,-1.56919126150538,0.12026971835963,0.536225472518187,-4.35086320858562,0.181547825494676,0.45630695463214,0.170948111856201,0.474083599650035,0.201454899181332
"cg00036045",0.325468543219402,1.42962861636109,0.156440588177765,0.567634059895648,-4.49828581452126,0.425798421214983,0.382242668077052,0.410667369654142,0.372650865653243,0.242975822623092
"cg00037117",-0.0810645496317096,-0.425811852005258,0.671307019421794,0.878626101650541,-5.16541461111227,0.71414395592253,0.777237731299328,0.68865455445092,0.787155656792092,0.729946176625986
"cg00039328",0.0925368934479295,0.515058976405453,0.607831046052301,0.851466700511634,-5.13494180461688,0.786079446855644,0.72963147105359,0.783071453719389,0.718015587874359,0.673087882372791
"cg00040455",0.163996539571521,0.57172038536303,0.569000342431582,0.830605000796142,-5.11261901657072,0.103242318631344,0.394945723173591,0.135960016890649,0.411249690417497,0.639705165637015
"cg00040923",-0.0245825179884981,-0.146253240181191,0.884063209683572,0.960758681222601,-5.22355695009144,0.664115287873668,0.630873348471742,0.653366887838947,0.625853988614707,0.906648203295414
"cg00042688",-0.248813378368904,-0.833569446853701,0.406829163166181,0.744164027899624,-4.97964808880937,0.676002133449138,0.717310728239244,0.61696112060458,0.737144620363788,0.497993547874765
"cg00042902",0.369501430497748,1.92537670851536,0.0574817990684173,0.488664498219759,-3.9176603402505,0.217791476986132,0.623560448755588,0.249386247486313,0.637157173445535,0.116002874002614
"cg00042904",-0.171967604303515,-0.820191396699786,0.414370884265331,0.749710301020986,-4.98762242957485,0.817977520184716,0.83110764428807,0.799539062834343,0.84196030352422,0.504936470923227
"cg00045034",0.224947612399417,0.867260974839007,0.388208596318764,0.734397119995024,-4.95900586729426,0.0550362925563078,0.429008530124301,0.0792342104597776,0.420834138212544,0.478280242512871
"cg00046099",0.593896417957883,2.57893431806294,0.0116079624175458,0.480233209081389,-2.92321438162003,0.146697219930845,0.628493617805419,0.190370670972889,0.653742375127945,0.0353232530193056
"cg00050611",-0.158175928266191,-1.06099678387536,0.291657185751316,0.670422553879426,-4.82486185394997,0.865308264448895,0.853879135475527,0.858316048430048,0.85326614252951,0.388095548671318
"cg00051952",-0.218616023294969,-1.04864721527505,0.29727391173383,0.675144071464925,-4.83419323670095,0.730051882310211,0.739488292825071,0.721366109860976,0.744953503574936,0.393655205812174
"cg00055165",0.239727363995629,1.32001178811272,0.190328257610402,0.598170170075156,-4.60501282944644,0.220563259778481,0.76820749968733,0.254590162893697,0.748743485070524,0.28094086561815
"cg00057417",-0.192942024422608,-0.955543812111601,0.341976799034705,0.705858357632873,-4.9011306849311,0.75620541450355,0.778967553212032,0.736505610061779,0.788136514872035,0.437100774528953
"cg00058055",-0.258204870124788,-1.17479613691559,0.243313678379243,0.635545742628063,-4.7339203772075,0.782009476078099,0.816828124820019,0.765748174693668,0.83900487512337,0.339143396552468
"cg00059162",0.149034126023231,1.05739482282242,0.293287851729166,0.671074881871252,-4.82759442514904,0.236275338164754,0.200737720820764,0.239775015110465,0.195925394431325,0.387537763989557
"cg00059277",0.0283895529008255,0.23994093358516,0.81094611711991,0.936080338705111,-5.2103907229701,0.865305730387642,0.794720569096593,0.856434910564071,0.79161141532158,0.843354456293952
"cg00060843",-0.0371447632534992,-0.182377031919458,0.855715383491779,0.949609775687925,-5.21923626719914,0.788649326141808,0.769912741889617,0.776203543868367,0.785557064425883,0.883353189486243
"cg00061679",-0.053426045667665,-0.476211708874174,0.635129239376252,0.863393931378147,-5.14891174478789,0.624291129902332,0.500810670565672,0.609578918421226,0.489054009176906,0.699282534016681
"cg00063477",-0.249341302318265,-1.20325650288944,0.232173699206073,0.627322851640638,-4.70978655811336,0.893454028499808,0.490371049604599,0.875435898075271,0.502197281821286,0.327548620875725
"cg00064180",-0.101951009039053,-0.621178160625364,0.536122782587625,0.815451760722202,-5.0912507206695,0.188615939616314,0.208782679167932,0.177084761550785,0.185026695303489,0.613921843959268
"cg00066481",0.142075227537453,0.771482396660473,0.442532305112648,0.766532658410197,-5.01558725525712,0.795355158146564,0.844675544599237,0.807967816343791,0.84940671675923,0.528052900471973
"cg00069001",-0.0262252121549173,-0.160573954714963,0.872804948532319,0.956206970999982,-5.22195763454802,0.893435927117301,0.76261347856952,0.88770714321823,0.73804889326579,0.897402505809249
"cg00070205",0.199509200938296,0.881949623137041,0.380258532880534,0.729902928041946,-4.94975605929123,0.650377645684211,0.714053466902227,0.667000650014825,0.729936079031163,0.470880453542573
"cg00070542",-0.228629423767535,-1.12465112492851,0.263861087075978,0.650684954898883,-4.77509201008822,0.396533697671056,0.430813814823267,0.396580517240806,0.437263202550649,0.360204799659771
"cg00071863",0.0312242215521739,0.198634461850582,0.843016771329066,0.945703825620023,-5.21698211527833,0.506734179416798,0.379158391941201,0.517090701677191,0.419280326849205,0.869788948551472
"cg00072288",0.220378217608206,0.858745338497076,0.392864419045858,0.736926161794468,-4.96429881574074,0.10060065411206,0.445038189452752,0.120642830629208,0.443901426979493,0.482599147094645
"cg00072587",0.13464461269739,0.924651972112424,0.357730106459685,0.715529057850801,-4.92200410041935,0.307359610518006,0.372095222837662,0.294475152193749,0.387554128359574,0.449731145902937
"cg00072799",0.103700245453408,0.478662298784199,0.633391663275242,0.862940397194204,-5.14806261327447,0.698227771582929,0.742794880757799,0.70401219340052,0.749541941014411,0.694881683789874
"cg00072839",0.273201854620281,1.7765515792059,0.0791726905663536,0.508829750027533,-4.10844705970346,0.130681909610373,0.152830148713933,0.148855999717267,0.174583381553563,0.14693745013375
"cg00074638",0.0215127960106436,0.320927129900447,0.749042943376627,0.910621211003416,-5.19387180472782,0.566029971048967,0.567646769247022,0.5755074412314,0.572235113836007,0.792061759410648
"cg00076099",-0.462457174135926,-1.88095089859675,0.0633571422232173,0.491388636291277,-3.97605758570088,0.732612494992071,0.712813565976378,0.697681521994936,0.736023729702846,0.125620825163786
"cg00076400",0.693820186684187,2.46781646898717,0.0155717097883742,0.480233209081389,-3.10947998240441,0.165190284666603,0.552829018656027,0.210201410763547,0.572522303876291,0.0440056984142653
"cg00078867",0.174187403530391,0.74799524548171,0.456500352332143,0.772857104737598,-5.02847083882615,0.129735699812451,0.53656604802311,0.145046740023927,0.538635761444477,0.540649231008652
"cg00079479",0.208250416678273,0.817998687234403,0.415614976748895,0.75031476722948,-4.9889173917712,0.0986326892174021,0.584652461911924,0.130189703945404,0.603683936113868,0.503554967800101
"cg00081572",-0.438513037336357,-2.413742690178,0.0179079769042035,0.480233209081389,-3.19766444912404,0.775280053054727,0.740504401248155,0.734077077866108,0.757947401752429,0.0492989197543229
"cg00090581",-0.211836622354705,-0.919897032787273,0.360195541018408,0.71677561427236,-4.92515762161215,0.760454234867752,0.747404277266849,0.728136450786717,0.755021509686524,0.454439188771462
"cg00091810",-0.299048560579999,-1.43933967640943,0.153678473174816,0.565275907234875,-4.48844410483934,0.857719191493264,0.712070409135942,0.848156412546354,0.715983834549395,0.241379037275659
"cg00093999",-0.121928938173973,-0.615600731520654,0.539781231155671,0.817276885951241,-5.09374813371091,0.878454020591635,0.757424370059336,0.886153821408283,0.742375751749204,0.617120255802057
"cg00096071",-0.344761257649774,-2.37703260793447,0.0196672971489818,0.480233209081389,-3.2566004763797,0.911034162120638,0.859783343036707,0.898584611072597,0.86271608488638,0.0528595137644008
"cg00097839",-0.273671104520296,-1.64981765144542,0.102622368472969,0.525346433634211,-4.25989167111924,0.794898834108187,0.742668058682116,0.7762339139413,0.730677827645612,0.179222178364323
"cg00098732",-0.0493302098017587,-0.298554727646342,0.765998845454623,0.917513194674181,-5.1989108622777,0.85731312003006,0.690571100985116,0.861925323418935,0.682820599837335,0.809212700672343
"cg00099616",0.53648397112332,2.21486261613559,0.0294086696486871,0.480233209081389,-3.50777470157579,0.106323897688092,0.508268911383945,0.137649652012368,0.522378715430707,0.0706379233500514
"cg00101578",-0.177407836369661,-0.964490078483141,0.337500248705651,0.701547617994951,-4.89496109048963,0.780001779701642,0.748649378143953,0.763892021920956,0.744702827758623,0.432809910682858
"cg00102779",0.0314302261162819,0.187056344740938,0.852056339078214,0.948894108436683,-5.21860715829892,0.530136308763918,0.665348250368415,0.501336589774691,0.66574359743321,0.877225997838193
"cg00108056",0.318331518725852,1.68726187913244,0.0951712332439211,0.517287675125572,-4.21621514039188,0.0785630194296561,0.366224202531133,0.0925732131534336,0.371410407478923,0.168316134243392
"cg00108737",-0.100186416677109,-0.500888484940894,0.617727144634915,0.857278249016429,-5.14016360589739,0.694273612249982,0.723674891905035,0.705407650158849,0.734658280281135,0.684442382801945
"cg00111239",0.518667170778279,2.36163182098918,0.0204500060168355,0.480233209081389,-3.28109954165757,0.0767470791075478,0.398384849586129,0.112203865000026,0.411024841542829,0.0539220744545569
"cg00112229",-0.189365595943618,-1.10483686029376,0.272306836528355,0.654570273183348,-4.79088404956591,0.831737169462317,0.663837230793978,0.814849686051027,0.663444547605109,0.368748575227959
"cg00112256",0.784418595139962,1.92794796877882,0.057156343028659,0.488664498219759,-3.91424310758603,0.106176015946599,0.55375819446237,0.134611614214749,0.55968801969132,0.115517315152542
"cg00113442",-0.18452817349762,-0.908097035406582,0.366360591350136,0.721215243509956,-4.9329149894743,0.736785241478341,0.695748991848805,0.732523065483344,0.707186971362385,0.460262917026678
