"CpG","proportion"
"cg25034591",0.509
"cg17479100",0.391
"cg03272642",0.297
"cg22873668",0.29
"cg17391107",0.276
"cg13866977",0.252
"cg12590845",0.246
"cg16238197",0.241
"cg06526829",0.235
"cg21986647",0.219
"cg12614702",0.21
"cg11014998",0.209
"cg07692215",0.196
"cg26175661",0.191
"cg07516457",0.181
"cg21141753",0.181
"cg14937106",0.175
"cg24748621",0.174
"cg00680673",0.172
"cg00597858",0.169
"cg01035781",0.165
"cg22682567",0.155
"cg21786233",0.151
"cg26896756",0.15
"cg06731599",0.137
"cg05064925",0.136
"cg08100265",0.136
"cg22366629",0.136
"cg17511686",0.135
"cg01885202",0.133
"cg21785054",0.132
"cg00372263",0.131
"cg19840133",0.13
"cg06438094",0.129
"cg07989438",0.125
"cg16163883",0.124
"cg03674851",0.118
"cg04697849",0.116
"cg02352295",0.109
"cg06836028",0.109
"cg17152375",0.104
"cg04932149",0.102
"cg01457262",0.1
"cg11999399",0.1
"cg00029931",0.098
"cg07819186",0.098
"cg06041068",0.096
"cg22275278",0.093
"cg08784874",0.091
"cg14511520",0.089
"cg07398798",0.088
"cg15790913",0.085
"cg16296022",0.085
"cg24426788",0.085
"cg24546622",0.084
"cg12057300",0.083
"cg10347293",0.082
"cg00622384",0.081
"cg04310247",0.081
"cg06616857",0.08
"cg14755341",0.08
"cg13939549",0.078
"cg05806018",0.077
"cg19200045",0.077
"cg24275475",0.076
"cg14132995",0.075
"cg21224759",0.075
"cg14368286",0.074
"cg02856792",0.071
"cg15835795",0.07
"cg17291924",0.07
"cg23280339",0.07
"cg04811556",0.069
"cg11018123",0.069
"cg20616045",0.068
"cg01442124",0.067
"cg01730928",0.067
"cg09354738",0.067
"cg17775518",0.066
"cg11663393",0.065
"cg12165338",0.065
"cg18796341",0.065
"cg24464282",0.065
"cg02161919",0.064
"cg16617830",0.064
"cg23897336",0.064
"cg18274682",0.063
"cg03578806",0.062
"cg24925526",0.062
"cg05028071",0.06
"cg11233153",0.06
"cg17040450",0.06
"cg10307436",0.059
"cg06551391",0.058
"cg11460496",0.058
"cg26518560",0.058
"cg13996925",0.057
"cg14323415",0.057
"cg03517379",0.056
"cg08523977",0.056
"cg17979423",0.056
"cg00128197",0.055
"cg02495306",0.055
"cg06084034",0.055
"cg11825763",0.055
"cg12298823",0.055
"cg05991806",0.053
"cg25095873",0.053
"cg19860695",0.052
"cg02975846",0.051
"cg13603288",0.051
"cg14513804",0.051
"cg09880872",0.05
"cg14723301",0.05
"cg26020914",0.05
"cg06609793",0.049
"cg09546813",0.049
"cg16776114",0.049
"cg24754154",0.049
"cg00935924",0.048
"cg16915302",0.048
"cg26741576",0.048
"cg27313495",0.048
"cg03853861",0.047
"cg05439902",0.047
"cg08513688",0.047
"cg22658957",0.047
"cg25165659",0.047
"cg12616720",0.046
"cg15418221",0.046
"cg17773502",0.046
"cg21978299",0.045
"cg03823149",0.044
"cg04716051",0.044
"cg14713996",0.044
"cg27228628",0.044
"cg04288012",0.043
