Table S1: A list of CpG sites with methylation patterns in Figure 1 & Additional file 1: Fig. S1,,
cpg,color,pattern
cg00008945,red,A
cg00011200,red,A
cg00011891,red,A
cg00014152,black,C
cg00016522,red,A
cg00016934,grey,rest
cg00018261,red,A
cg00021786,black,C
cg00026186,red,A
cg00072288,red,A
cg00112256,red,A
cg00114625,red,A
cg00114913,red,A
cg00116709,red,A
cg00139317,red,A
cg00142683,red,A
cg00192980,red,A
cg00200463,red,A
cg00206414,grey,rest
cg00240113,red,A
cg00241296,red,A
cg00241907,red,A
cg00243584,grey,rest
cg00264378,red,A
cg00265812,red,A
cg00266918,green,B
cg00360365,red,A
cg00373606,red,A
cg00374088,red,A
cg00378717,green,B
cg00381376,green,B
cg00391044,red,A
cg00399450,red,A
cg00408231,purple,D
cg00412010,red,A
cg00412368,red,A
cg00416689,red,A
cg00427681,grey,rest
cg00457389,red,A
cg00458505,red,A
cg00466309,red,A
cg00473354,red,A
cg00478198,red,A
cg00529027,red,A
cg00551957,black,C
cg00554969,red,A
cg00573298,green,B
cg00575851,red,A
cg00598664,red,A
cg00611101,red,A
cg00619443,grey,rest
cg00621925,red,A
cg00622384,red,A
cg00622389,red,A
cg00636562,red,A
cg00645049,red,A
cg00650640,grey,rest
cg00661180,red,A
cg00666173,red,A
cg00680081,grey,rest
cg00680673,red,A
cg00685229,grey,rest
cg00685925,red,A
cg00688681,red,A
cg00697812,black,C
cg00723997,red,A
cg00727483,red,A
cg00729461,red,A
cg00735883,red,A
cg00739467,red,A
cg00751785,green,B
cg00769799,red,A
cg00776430,red,A
cg00810519,red,A
cg00812634,black,C
cg00813156,red,A
cg00818649,red,A
cg00824273,grey,rest
cg00832270,red,A
cg00839572,green,B
cg00845806,red,A
cg00849191,red,A
cg00855706,black,C
cg00895705,red,A
cg00904184,red,A
cg00907920,black,C
cg00935924,red,A
cg00936435,red,A
cg00938641,black,C
cg00940287,grey,rest
cg00968771,red,A
cg00981879,red,A
cg00988678,red,A
cg00993140,red,A
cg00996177,red,A
cg01000789,red,A
cg01013491,black,C
cg01051089,black,C
cg01052065,red,A
cg01055931,black,C
cg01056373,red,A
cg01058588,red,A
cg01062269,red,A
cg01078565,black,C
cg01083397,red,A
cg01120006,red,A
cg01120894,red,A
cg01142317,red,A
cg01150083,red,A
cg01187510,red,A
cg01191902,red,A
cg01215118,red,A
cg01215761,red,A
cg01274846,black,C
